"Date,""Total Activated Balancing Energy UP"",""Total Activated Balancing Energy Down"",""Total Activated Balancing Energy"",""Imbalance Price"",""mFRR Price Down"""
2020-11-05 14:30:00,49.239,65.63692,-16.39792,18.0152022,33.93
2020-11-05 14:45:00,49.243,69.06065,-19.81765,18.35835858,33.93
2020-11-05 15:00:00,38.87183,99.91733,-61.0455,19.24841606,30.22
2020-11-05 15:15:00,36.42191,111.28986,-74.86795,20.28259087,30.22
2020-11-05 15:30:00,58.80601,102.89863,-44.09262,25.22354002,35.84
2020-11-05 15:45:00,50.21125,91.74299,-41.53174,21.86624675,35.84
2020-11-05 16:00:00,69.67497,151.71425,-82.03928,-1.21559655,-0.93
2020-11-05 16:15:00,53.90807,156.78103,-102.87296,-1.5765968,-0.91
2020-11-05 16:30:00,77.45072,114.3367,-36.88598,19.42896489,28
2020-11-05 16:45:00,61.88976,73.15613,-11.26637,21.33311304,28
2020-11-05 17:00:00,64.58183,178.35926,-113.77743,-1.06145841,-0.91
